factor,value,n,fold_centered_delta,raw_balanced_mean
beat_target,6,6,0.031,6.7625
beat_target,4,24,-0.0005,6.731
beat_target,8,3,-0.0048,6.7267
beat_target,5,27,-0.0059,6.7256
cadence,"""discovery""",45,0.0235,6.755
cadence,"""spoken""",9,-0.0582,6.6733
cadence,"""structured""",6,-0.089,6.6425
counterargument,"""optional""",9,0.0413,6.7728
counterargument,"""required""",51,-0.0073,6.7242
evidence_target,"""1-2""",9,0.0879,6.8194
evidence_target,"""2-3""",39,-0.0136,6.7179
evidence_target,"""3-4""",12,-0.0219,6.7096
first_evidence_word_budget,210,3,0.1852,6.9167
first_evidence_word_budget,180,12,0.1352,6.8667
first_evidence_word_budget,200,12,0.0785,6.81
first_evidence_word_budget,160,6,0.0602,6.7917
first_evidence_word_budget,520,3,-0.0048,6.7267
first_evidence_word_budget,170,12,-0.0132,6.7183
first_evidence_word_budget,300,3,-0.1732,6.5583
first_evidence_word_budget,190,6,-0.199,6.5325
first_evidence_word_budget,220,3,-0.5315,6.2
memory_policy,"""narrative_turn""",9,0.1779,6.9094
memory_policy,"""forced_opening""",9,0.0229,6.7544
memory_policy,"""after_first_evidence""",9,-0.0082,6.7233
memory_policy,"""closing_callback""",6,-0.0432,6.6883
memory_policy,"""fit_gated""",27,-0.0546,6.6769
memory_word_budget,70,3,0.1852,6.9167
memory_word_budget,80,9,0.1274,6.8589
memory_word_budget,85,12,0.0785,6.81
memory_word_budget,90,18,-0.0004,6.7311
memory_word_budget,180,3,-0.0048,6.7267
memory_word_budget,65,3,-0.1115,6.62
memory_word_budget,75,9,-0.1498,6.5817
memory_word_budget,100,3,-0.3132,6.4183
opening_style,"""memory_story""",6,0.0902,6.8217
opening_style,"""human_tension""",15,0.0428,6.7743
opening_style,"""concrete_scene""",27,0.0291,6.7606
opening_style,"""paradox_question""",12,-0.164,6.5675
payoff_callback,true,57,0.0091,6.7406
payoff_callback,false,3,-0.1732,6.5583
thesis_timing,"""delayed""",51,0.0025,6.734
thesis_timing,"""early""",9,-0.0143,6.7172
